team,player_name,position
Leeds United FC,Anton Stach,Midfield
Leeds United FC,Ilia Gruev,Midfield
Leeds United FC,Brenden Aaronson,Midfield
Leeds United FC,Charlie Crewe,Midfield
Leeds United FC,Jack Harrison,Offence
Leeds United FC,Dominic Calvert-Lewin,Offence
Leeds United FC,Lukas Nmecha,Offence
Leeds United FC,Daniel James,Offence
Leeds United FC,Harry Wilson,Offence
Leeds United FC,Noah Okafor,Offence
Leeds United FC,Joël Piroe,Offence
Leeds United FC,Joe Gelhardt,Offence
Leeds United FC,Largie Ramazani,Offence
Leeds United FC,Wilfried Gnonto,Offence
Leeds United FC,Mateo Fernandez,Offence
Ipswich Town FC,David Button,Goalkeeper
Ipswich Town FC,Christian Walton,Goalkeeper
Ipswich Town FC,Alex Palmer,Goalkeeper
Ipswich Town FC,Kjell Scherpen,Goalkeeper
Ipswich Town FC,Kayne van Oevelen,Goalkeeper
Ipswich Town FC,Darnell Furlong,Defence
Ipswich Town FC,Ben Johnson,Defence
Ipswich Town FC,Issa Diop,Defence
Ipswich Town FC,Dara O'Shea,Defence
Ipswich Town FC,Cédric Kipré,Defence
Ipswich Town FC,Leif Davis,Defence
Ipswich Town FC,Jacob Greaves,Defence
Ipswich Town FC,Elkan Baggott,Defence
Ipswich Town FC,Harry Clarke,Defence
Ipswich Town FC,Abdoul Ouattara,Defence
Ipswich Town FC,Wes Burns,Midfield
Ipswich Town FC,Samuel Szmodics,Midfield
Ipswich Town FC,Jack Taylor,Midfield
Ipswich Town FC,Azor Matusiwa,Midfield
Ipswich Town FC,Saša Lukić,Midfield
Ipswich Town FC,Florentino,Midfield
Ipswich Town FC,Marcelino Núñez,Midfield
Ipswich Town FC,Anis Mehmeti,Midfield
Ipswich Town FC,Julio Enciso,Midfield
Ipswich Town FC,Cameron Humphreys,Midfield
Ipswich Town FC,Kasey McAteer,Midfield
Ipswich Town FC,Jack Clarke,Offence
Ipswich Town FC,Chiedozie Ogbene,Offence
Ipswich Town FC,Chuba Akpom,Offence
Ipswich Town FC,George Hirst,Offence
Ipswich Town FC,Daizen Maeda,Offence
Ipswich Town FC,Jaden Philogene-Bidace,Offence
Ipswich Town FC,Emersonn,Offence
Ipswich Town FC,Ali Al-Hamadi,Offence
Ipswich Town FC,Abdul Issahaku,Offence
Ipswich Town FC,Sindre Egeli,Offence
Nottingham Forest FC,John,Goalkeeper
Nottingham Forest FC,Matz Sels,Goalkeeper
Nottingham Forest FC,Steven Benda,Goalkeeper
Nottingham Forest FC,Nikola Milenković,Defence
Nottingham Forest FC,Ola Aina,Defence
Nottingham Forest FC,Omar Richards,Defence
Nottingham Forest FC,Morato,Defence
Nottingham Forest FC,Neco Williams,Defence
Nottingham Forest FC,Luca Netz,Defence
Nottingham Forest FC,Jair Paula,Defence
Nottingham Forest FC,Ousmane Diomande,Defence
Nottingham Forest FC,Nicolò Savona,Defence
Nottingham Forest FC,Murillo,Defence
Nottingham Forest FC,Zach Abbott,Defence
Nottingham Forest FC,Tyler Bindon,Defence
Nottingham Forest FC,Eric da Silva Moreira,Defence
Nottingham Forest FC,Morgan Gibbs-White,Midfield
Nottingham Forest FC,Ryan Yates,Midfield
Nottingham Forest FC,Ibrahim Sangaré,Midfield
Nottingham Forest FC,Xaver Schlager,Midfield
Nottingham Forest FC,Nicolás Domínguez,Midfield
Nottingham Forest FC,James McAtee,Midfield
Nottingham Forest FC,Callum Hudson-Odoi,Offence
Nottingham Forest FC,Chris Wood,Offence
Nottingham Forest FC,Taiwo Awoniyi,Offence
Nottingham Forest FC,Dan Ndoye,Offence
Nottingham Forest FC,Arnaud Kalimuendo,Offence
Nottingham Forest FC,Dilane Bakwa,Offence
Nottingham Forest FC,Omari Hutchinson,Offence
Nottingham Forest FC,Igor Jesus,Offence
Crystal Palace FC,Dean Henderson,Goalkeeper
Crystal Palace FC,Remi Matthews,Goalkeeper
Crystal Palace FC,Walter Benítez,Goalkeeper
Crystal Palace FC,Owen Goodman,Goalkeeper
Crystal Palace FC,Nathaniel Clyne,Defence
Crystal Palace FC,Takehiro Tomiyasu,Defence
Crystal Palace FC,Borna Sosa,Defence
Crystal Palace FC,Daniel Muñoz,Defence
Crystal Palace FC,Maxence Lacroix,Defence
Crystal Palace FC,Chris Richards,Defence
Crystal Palace FC,Tyrick Mitchell,Defence
Crystal Palace FC,Óscar Mingueza,Defence
Crystal Palace FC,Chadi Riad,Defence
